"","OB_END_TIME","MAX_AIR_TEMP"
"746","2007-08-01 21:00",15.1
"747","2007-09-01 21:00",12.3
"748","2007-10-01 21:00",12.1
"749","2007-11-01 21:00",7.6
"750","2007-12-01 21:00",5.8
"751","2008-01-01 21:00",7.1
"752","2008-02-01 21:00",2.6
"753","2008-03-01 21:00",5.5
"754","2008-04-01 21:00",8.5
"755","2008-05-01 21:00",9.5
"756","2008-06-01 21:00",12.8
"757","2008-07-01 21:00",14.4
"758","2008-08-01 21:00",18.6
"759","2008-09-01 21:00",14.5
"760","2008-10-01 21:00",9.9
"761","2008-11-01 21:00",8
"762","2008-12-01 21:00",2
"763","2009-01-01 21:00",2.7
"764","2009-02-01 21:00",4.8
"765","2009-03-01 21:00",7.5
"766","2009-04-01 21:00",12.5
"767","2009-05-01 21:00",10.9
"768","2009-06-01 21:00",12.7
"769","2009-07-01 21:00",17.6
"770","2009-08-01 21:00",15.5
"771","2009-09-01 21:00",15.4
"772","2009-10-01 21:00",7.9
"773","2009-11-01 21:00",10.5
"774","2009-12-01 21:00",7.4
"775","2010-01-01 21:00",3.1
"776","2010-02-01 21:00",0.7
"777","2010-03-01 21:00",2.4
"778","2010-04-01 21:00",6.8
